Section, Description
"Questionnaire: Choose your training split question","Full body description says 'Hit every muscle group in one efficient session...' replace first sentence with 'Hit every musclegroup each session. Perfect for...'"
"Questionnaire: Choose your training split question","Upper Lower split decription is currently the same for the 2-day upper lower and 4-day upper lower, but the 4-day upper lower split should reference two days upper body and two days lower body"
"Questionnaire: Gender and age question","Scroll wheel for DOB selection - wheel text spills outside of container border. expand container to contain or reduce wheel"
"Questionnaire: Height and weight question","Content too large. Reduce vertical padding in height and weight boxes somewhat and spacing between question description and Height subheading and bottom of height container and Weight subheading. All content should finish abve the continue button. Also make height cm, weight kg and weight lbs integers, no decimal"
"Questionnaire: Height and weight question","the non selected unit is currently peach but this de-selection isn't so obvious so make it light grey"
"Questionnaire: days per week availability question","User selecting dpw outside recommended range triggers a warning notifcation, but the UX is a little aggressive, let's change the warning icon to a dumbbell icon and replace 'Training Frequency Warning' with 'Professional Recommendation"
"Questionnaire: equipment selection page","Spacing between child items is smaller than spacing betwee parent-level items i.e. the gap between dumbbells and kettlebells. for parents, if there is no 'see more' text then make the vspace the same as children"
"Questionnaire: priority muscle group","reduce bottom spacing under body figues by 60% - selected muscle tabs are push too low into the continue button"
"Questionnaire: Review Your Choices","Make the Edit text an accent orange pill bitton with white text. Also, Returning to edit a choice forces the user to go through the entire flow from that point onward. They should be able to return to their choices again after the edit, this is poor UX"
"Questionnaire: injuries","Bug identified, when selecting 'No injuries' as an answer, this does not currently save, since reviewing choices and returning to the injuries question loses the answer selected. Any other option other than 'no injuries' seems to save correctly."
"Questionnaire: how confident do you feel","No experience card replace 'resistance training' with 'strength training';Intermediate card replace 'compound exercises' with 'complex exercises';advanced card replace 'complex lifts' with 'complex exericses'"
"Equipment page: expansion behaviour and order","I want to order this way:Dumbbells\nKettlebells\nBarbells\nCables and attachments\nPin\nPlate\nOther - Also currently the behaviour of barbells is wrong. barbells are both a standalone piece of equipment and an equipment_category i.e. By expanding (see more) Barbells, first item under that category should be 'Barbells' followed by the barbell equipment. Dumbbells and kettlebells are non-expandable as they are standalone pieces of equipment. User should still be able to hit anywhere on the parent card and select it, automatically selecting all child elements (parent card gets accent colour fill when selected). they can then expand and unselect child elements, which changes parent fill colour to tinted accent colour."
"Main TabView toolbar","We currently have a clapperboard symbol for library, it would be great if we have two icons for this, one open clapperboard when the user is on the library, one closed clapperboard when they're elsewere."
"Test accounts", "These work very well but i'd like data up to and including the current week. Today is thursday for example so the 3-day test account should have monday and wednesday for this week. And i'd like an efficient way of generating these on the fly. perhaps a python or bash script"
"Below-calendar analytics","Charts under calendar are a bit meaningless. Let's change these so that we get a line chart of cumulative total workouts instead of current streak. weekly volume and avg duration don't seem to link to the actual data? make sure they match the data that's been logged for the test account. then the consistencey chart let's change to a line chart of total output (volume*weight) over time."
